Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,year,month,day_in_month,week_of_year,dist_to_stat_1,dist_to_stat_2,"('CULEX ERRATICUS',)","('CULEX PIPIENS',)","('CULEX PIPIENS/RESTUANS',)","('CULEX RESTUANS',)","('CULEX SALINARIUS',)","('CULEX TARSALIS',)","('CULEX TERRITANS',)"
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,29,22,0.13802634596700253,0.1756599959609456,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,29,22,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007,5,29,22,0.1637210002473816,0.20970408179622785,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,5,29,22,0.11019035014465944,0.20169050365597058,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007,5,29,22,0.11019035014465944,0.20169050365597058,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007,5,29,22,0.27646662913451975,0.1603287467206004,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000002,1,0,2007,5,29,22,0.2972519688832887,0.1433799114415766,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,5,29,22,0.3067122785934779,0.127038001558586,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007,5,29,22,0.3067122785934779,0.127038001558586,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007,5,29,22,0.2947885773702987,0.14671797895281627,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,5,29,22,0.2504421025506736,0.14530787566404732,0.0,0.0,1.0,0.0,0.0,0.0,0.0
