Date,Heat,Cool,Depart,week_of_year,DarkHours,Tavg_Rol7,DewPoint_Rol7,WetBulb_Rol7,RelHumidity_Rol7,AvgSpeed_Rol7
2007-05-01,0.0,2.5,14,18,9.983333333333338,60.357142857142854,40.42857142857143,50.214285714285715,0.49447406900470453,11.807142857142859
2007-05-02,13.5,0.0,-3,18,9.950000000000001,60.357142857142854,40.42857142857143,50.214285714285715,0.49447406900470453,11.807142857142859
2007-05-03,8.0,0.0,2,18,9.916666666666664,60.357142857142854,40.42857142857143,50.214285714285715,0.49447406900470453,11.807142857142859
2007-05-04,7.0,0.0,4,18,9.866666666666667,60.357142857142854,40.42857142857143,50.214285714285715,0.49447406900470453,11.807142857142859
2007-05-05,5.0,0.0,5,18,9.833333333333329,60.57142857142857,41.357142857142854,51.07142857142857,0.5134458011515266,11.264285714285714
2007-05-06,5.5,0.0,4,18,9.783333333333331,63.142857142857146,43.857142857142854,53.357142857142854,0.5199395171404212,10.214285714285714
2007-05-07,0.0,1.0,10,19,9.750000000000004,65.07142857142857,45.57142857142857,55.0,0.5206566159270972,8.992857142857144
2007-05-08,0.0,4.0,12,19,9.7,65.07142857142857,45.785714285714285,55.142857142857146,0.5250126562820512,9.314285714285715
2007-05-09,0.0,4.5,13,19,9.666666666666668,64.42857142857143,45.5,54.642857142857146,0.5304371216172479,9.485714285714284
2007-05-10,0.0,5.5,14,19,9.633333333333333,64.0,45.857142857142854,54.642857142857146,0.541205577652076,8.5
2007-05-11,4.0,0.0,4,19,9.600000000000001,64.92857142857143,46.714285714285715,55.357142857142854,0.5422686426366669,9.321428571428571
2007-05-12,9.5,0.0,-2,19,9.566666666666663,64.92857142857143,46.5,55.142857142857146,0.5364025082816082,10.171428571428573
2007-05-13,8.5,0.0,-2,19,9.533333333333335,62.857142857142854,44.07142857142857,52.92857142857143,0.5195841927164692,11.021428571428572
2007-05-14,0.0,7.5,15,20,9.5,60.357142857142854,41.214285714285715,50.42857142857143,0.5065232622963218,12.12857142857143
2007-05-15,0.0,4.0,11,20,9.466666666666669,59.785714285714285,39.42857142857143,49.785714285714285,0.4839915307671219,11.221428571428572
2007-05-16,10.0,0.0,-4,20,9.43333333333333,61.57142857142857,39.642857142857146,50.785714285714285,0.46191929950190663,11.0
2007-05-17,12.0,0.0,-6,20,9.400000000000002,61.57142857142857,40.785714285714285,50.57142857142857,0.48369467545562855,11.335714285714285
2007-05-18,8.0,0.0,-3,20,9.366666666666667,60.142857142857146,41.357142857142854,50.285714285714285,0.5207551521225554,10.200000000000001
2007-05-19,0.0,3.0,8,20,9.333333333333337,60.642857142857146,39.785714285714285,49.857142857142854,0.48009929234818133,10.035714285714286
2007-05-20,8.5,0.0,-5,20,9.3,63.714285714285715,40.642857142857146,51.785714285714285,0.4442275448486623,9.964285714285714
2007-05-21,2.5,0.0,1,21,9.266666666666666,67.07142857142857,43.714285714285715,54.642857142857146,0.44715316333593824,10.607142857142858
